notification_id,work_order_id,functional_location,asset_id,island,area,system_id,system_name,asset_type,asset_criticality,notification_date,notification_priority,defect_status,risk_class,risk_sort_order,responsible_discipline,failure_mode,notification_status,order_status,replanning_count,notification_age_days,maintenance_response_state
N0001190,WO0000734,PLT-RU-UTL-STM,PV-UTL-STM-01,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,Control Valve,A,2025-11-07,3,Defect,R5,5,Valves,POSITIONER_DEVIATION,In Progress,Released,0,8,ACTIVE_WORK_ORDER
N0001192,,PLT-RU-UTL-AIR,M-UTL-AIR-01,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,Motor,A,2025-11-08,3,Defect,R5,5,Condition Monitoring,INSULATION_DEGRADATION,Open,,,7,OPEN_NOTIFICATION
N0001110,WO0000678,PLT-RU-LIM-LMF,FV-LIM-LMF-01,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,Control Valve,B,2025-08-30,3,Defect,R7,7,Valves,EXTERNAL_LEAKAGE,In Progress,Scheduled,3,77,ACTIVE_WORK_ORDER
N0001132,WO0000695,PLT-RU-EVA-BLF,FT-EVA-BLF-01,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,Flow Transmitter,B,2025-09-18,3,Defect,R7,7,Instrumentation,SIGNAL_DRIFT,In Progress,Released,3,58,ACTIVE_WORK_ORDER
N0001138,WO0000700,PLT-FL-DRY-HYD,M-DRY-HYD-01,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Motor,B,2025-09-24,3,Defect,R7,7,Electrical,MOTOR_BEARING_VIBRATION,In Progress,Released,3,52,ACTIVE_WORK_ORDER
N0001140,,PLT-RU-CAU-REA,AG-CAU-REA-01,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,Agitator,B,2025-09-29,3,Defect,R7,7,Mechanical,BEARING_TEMPERATURE,Open,,,47,OPEN_NOTIFICATION
N0001151,WO0000711,PLT-FL-BLE-CHM,M-BLE-CHM-01,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Motor,B,2025-10-06,3,Defect,R7,7,Electrical,MOTOR_OVERHEATING,In Progress,Released,1,40,ACTIVE_WORK_ORDER
N0001152,WO0000712,PLT-FL-DRY-LUB,P-DRY-LUB-01,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Lubrication Pump,B,2025-10-07,3,Defect,R7,7,Lubrication,LOW_LUBE_LEVEL,In Progress,Created,0,39,ACTIVE_WORK_ORDER
N0001156,,PLT-RU-UTL-PWT,P-UTL-PWT-01,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,Pump,B,2025-10-10,3,Defect,R7,7,Mechanical,PUMP_BEARING_VIBRATION,Open,,,36,OPEN_NOTIFICATION
N0001164,,PLT-FL-WSH-SCR,P-WSH-SCR-01,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Pump,B,2025-10-17,3,Defect,R7,7,Mechanical,SEAL_LEAKAGE,Open,,,29,OPEN_NOTIFICATION
N0001179,,PLT-FL-WSH-SCR,SCR-WSH-SCR-01,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Screen,B,2025-10-30,3,Defect,R7,7,Mechanical,MECHANICAL_BINDING,Open,,,16,OPEN_NOTIFICATION
N0001185,WO0000730,PLT-RU-LIM-LMF,FV-LIM-LMF-01,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,Control Valve,B,2025-11-04,3,Defect,R7,7,Instrumentation,POSITIONER_DEVIATION,In Progress,Released,0,11,ACTIVE_WORK_ORDER
N0001189,WO0000733,PLT-RU-CAU-REA,AG-CAU-REA-01,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,Agitator,B,2025-11-07,3,Defect,R7,7,Condition Monitoring,BEARING_TEMPERATURE,In Progress,Released,3,8,ACTIVE_WORK_ORDER
N0001191,WO0000735,PLT-RU-UTL-PWT,FT-UTL-PWT-01,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,Flow Transmitter,B,2025-11-08,3,Defect,R7,7,Instrumentation,INTERMITTENT_SIGNAL,In Progress,Created,0,7,ACTIVE_WORK_ORDER
N0001194,WO0000737,PLT-FL-WSH-SCR,M-WSH-SCR-01,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Motor,B,2025-11-09,3,Defect,R7,7,Condition Monitoring,MOTOR_OVERHEATING,In Progress,Created,2,6,ACTIVE_WORK_ORDER
N0001200,WO0000739,PLT-FL-DIG-IMP,FT-DIG-IMP-01,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,Flow Transmitter,B,2025-11-13,3,Defect,R7,7,Instrumentation,CALIBRATION_DEVIATION,In Progress,Created,0,2,ACTIVE_WORK_ORDER
N0001159,,PLT-FL-WSH-FIL,LT-WSH-FIL-01,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,Level Transmitter,C,2025-10-13,3,Defect,R9,9,Automation,CONTROL_SEQUENCE_DEVIATION,Open,,,33,OPEN_NOTIFICATION
N0001172,WO0000725,PLT-RU-EVA-CON,LT-EVA-CON-01,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,Level Transmitter,C,2025-10-23,3,Defect,R9,9,Instrumentation,SIGNAL_DRIFT,In Progress,Released,0,23,ACTIVE_WORK_ORDER
N0001175,,PLT-FL-WSH-SCR,DPIT-WSH-SCR-01,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Differential Pressure Transmitter,C,2025-10-26,3,Defect,R9,9,Instrumentation,INTERMITTENT_SIGNAL,Open,,,20,OPEN_NOTIFICATION
