loss_event_id,campaign_id,event_start_datetime,event_end_datetime,duration_hours,island,area,system_id,system_name,functional_location,asset_id,impact_scope,event_type,cause_category,failure_mode,event_description,root_cause_status,baseline_rate_adt_day,actual_rate_adt_day,production_loss_adt,operations_comment,history_coverage_eligible,maintenance_context,prior_confirmed_notification_count_180d,latest_prior_notification_id,latest_prior_notification_date,latest_prior_responsible_discipline,latest_prior_work_order_id,latest_prior_closure_code,latest_prior_action_type,latest_prior_risk_class,latest_prior_risk_sort_order,days_from_latest_notification_to_loss,latest_completed_corrective_notification_id,latest_completed_corrective_date,days_from_corrective_completion_to_loss
LE000011,C1,2023-03-03T06:15:00,2023-03-03T08:45:00,2.50,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,PLT-FL-BLE-TWR,AG-BLE-TWR-01,System,Production Rate Reduction,Equipment Failure,LOW_LUBE_LEVEL,Lubricant level below normal mark; mill throughput reduced during stabilization.,Confirmed,4230.83,3609.82,64.69,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000012,C1,2023-03-08T13:15:00,2023-03-08T15:30:00,2.25,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,PLT-FL-WSH-SCR,,System,Production Rate Reduction,Process Upset,FOULING,Deposits reduced effective process capacity; mill throughput reduced during stabilization.,Probable,4263.00,3116.00,107.53,Throughput was limited until operating conditions stabilized.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000013,C1,2023-03-20T03:00:00,2023-03-20T07:00:00,4.00,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,PLT-FL-BLE-DOS,FT-BLE-DOS-01,Area,Area Shutdown,Instrumentation / Control,CALIBRATION_DEVIATION,Measured output outside calibration tolerance; area operation stopped and mill output reduced.,Confirmed,4261.48,914.78,557.78,Available buffers were used while the affected area recovered.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000014,C1,2023-03-21T14:45:00,2023-03-21T22:30:00,7.75,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,PLT-RU-EVA-CIR,P-EVA-CIR-01,Mill,Mill Shutdown,Equipment Failure,OIL_CONTAMINATION,Oil sample shows elevated contamination; mill production stopped for recovery.,Confirmed,4349.59,75.43,1380.20,Shift coordinated isolation and a staged mill restart.,FALSE,POST_MAINTENANCE_RECURRENCE,1,N0000007,2023-01-04,Lubrication,WO0000007,WORK_COMPLETED,Lubrication,R7,7,76,N0000007,2023-03-03,18
LE000015,C1,2023-03-23T16:15:00,2023-03-23T20:45:00,4.50,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,PLT-RU-LIM-IDF,DV-LIM-IDF-01,System,Production Rate Reduction,Instrumentation / Control,INTERMITTENT_SIGNAL,Intermittent signal dropout at stable process conditions; mill throughput reduced during stabilization.,Confirmed,4376.78,3336.80,195.00,Throughput was limited until operating conditions stabilized.,FALSE,KNOWN_UNTREATED_DEFECT,1,N0000020,2023-01-14,Automation,,MONITOR_CONDITION,Inspection only,R7,7,68,,,
LE000016,C1,2023-03-27T20:00:00,2023-03-28T02:30:00,6.50,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,PLT-RU-RB-SMT,,System,Production Rate Reduction,Process Upset,PROCESS_RESTRICTION,Process restriction limited transfer capacity; mill throughput reduced during stabilization.,Probable,4196.01,3295.09,244.00,Throughput was limited until operating conditions stabilized.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000017,C1,2023-04-06T05:45:00,2023-04-07T04:00:00,22.25,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,PLT-RU-CAU-WLC,FV-CAU-WLC-01,System,Production Rate Reduction,Equipment Failure,VALVE_STICTION,Valve travel sticks during small command changes; mill throughput reduced during stabilization.,Probable,4213.52,2947.36,1173.84,Throughput was limited until operating conditions stabilized.,FALSE,KNOWN_UNTREATED_DEFECT,1,N0000041,2023-01-31,Valves,,MONITOR_CONDITION,Inspection only,R5,5,65,,,
LE000018,C1,2023-04-09T03:30:00,2023-04-09T06:00:00,2.50,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,PLT-RU-CAU-REA,,Area,Area Shutdown,Process Upset,PROCESS_INSTABILITY,Process oscillations required reduced mill throughput; area operation stopped and mill output reduced.,Probable,4174.59,1406.37,288.36,Available buffers were used while the affected area recovered.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000019,C1,2023-04-10T02:45:00,2023-04-10T10:45:00,8.00,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,PLT-RU-RB-BLF,P-RB-BLF-01,System,Production Rate Reduction,Equipment Failure,PUMP_BEARING_VIBRATION,Elevated vibration at pump bearing housing; mill throughput reduced during stabilization.,Confirmed,4153.25,3210.74,314.17,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000020,C1,2023-04-10T13:15:00,2023-04-10T15:00:00,1.75,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,PLT-FL-DRY-PMF,,System,Production Rate Reduction,Process Upset,FOULING,Deposits reduced effective process capacity; mill throughput reduced during stabilization.,Probable,4227.80,3747.29,35.04,Throughput was limited until operating conditions stabilized.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000021,C1,2023-04-12T02:45:00,2023-04-12T05:00:00,2.25,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,PLT-FL-DIG-CHP,ZS-DIG-CHP-01,Area,Area Shutdown,Instrumentation / Control,SIGNAL_DRIFT,Indicated value drifts from independent reference; area operation stopped and mill output reduced.,Confirmed,4191.99,1862.97,218.35,Available buffers were used while the affected area recovered.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000022,C1,2023-04-14T11:00:00,2023-04-15T02:45:00,15.75,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,PLT-FL-DIG-CIR,P-DIG-CIR-01,Area,Area Shutdown,Equipment Failure,PUMP_BEARING_VIBRATION,Elevated vibration at pump bearing housing; area operation stopped and mill output reduced.,Confirmed,4299.27,1476.36,1852.53,Available buffers were used while the affected area recovered.,FALSE,KNOWN_UNTREATED_DEFECT,1,N0000044,2023-01-31,Mechanical,WO0000024,MONITOR_CONDITION,Inspection only,R5,5,73,,,
LE000023,C1,2023-04-17T16:45:00,2023-04-18T22:30:00,29.75,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,PLT-FL-DRY-HYD,HPU-DRY-HYD-01,System,Production Rate Reduction,Equipment Failure,HYD_PRESS_INSTABILITY,Hydraulic header pressure oscillates under steady demand; mill throughput reduced during stabilization.,Confirmed,4187.09,3757.43,532.60,Throughput was limited until operating conditions stabilized.,FALSE,KNOWN_UNTREATED_DEFECT,1,N0000042,2023-01-31,Hydraulics,WO0000022,MONITOR_CONDITION,Inspection only,R5,5,76,,,
LE000024,C1,2023-04-23T17:15:00,2023-04-23T22:45:00,5.50,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,PLT-RU-CAU-GLH,FV-CAU-GLH-01,Mill,Mill Shutdown,Equipment Failure,ACTUATOR_LEAKAGE,Actuator supply pressure decays while held; mill production stopped for recovery.,Confirmed,4143.92,9.44,947.49,Shift coordinated isolation and a staged mill restart.,FALSE,POST_MAINTENANCE_RECURRENCE,1,N0000001,2023-01-01,Valves,WO0000001,WORK_COMPLETED,Seal replacement,R7,7,112,N0000001,2023-01-21,92
LE000025,C1,2023-04-30T19:45:00,2023-04-30T23:15:00,3.50,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,PLT-RU-RB-AIR,FT-RB-AIR-01,System,Production Rate Reduction,Instrumentation / Control,INTERMITTENT_SIGNAL,Intermittent signal dropout at stable process conditions; mill throughput reduced during stabilization.,Probable,4135.94,2964.99,170.76,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000026,C1,2023-05-02T11:30:00,2023-05-02T20:15:00,8.75,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,PLT-FL-DRY-LUB,P-DRY-LUB-01,System,Production Rate Reduction,Equipment Failure,LOW_LUBE_LEVEL,Lubricant level below normal mark; mill throughput reduced during stabilization.,Probable,4127.25,3123.34,366.01,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000027,C1,2023-05-04T08:00:00,2023-05-04T21:15:00,13.25,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,PLT-FL-DIG-CHP,XV-DIG-CHP-01,System,Production Rate Reduction,Equipment Failure,ACTUATOR_LEAKAGE,Actuator supply pressure decays while held; mill throughput reduced during stabilization.,Confirmed,4132.58,3176.78,527.68,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000028,C1,2023-05-17T15:00:00,2023-05-17T17:00:00,2.00,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,PLT-FL-DIG-BLC,PSHH-DIG-BLC-01,System,Production Rate Reduction,Instrumentation / Control,CONTROL_SEQUENCE_DEVIATION,Control sequence response differs from approved logic; mill throughput reduced during stabilization.,Probable,4205.81,2990.20,101.30,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000029,C1,2023-05-20T13:00:00,2023-05-20T18:15:00,5.25,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,PLT-RU-LIM-LMF,,Area,Area Shutdown,Process Upset,PROCESS_INSTABILITY,Process oscillations required reduced mill throughput; area operation stopped and mill output reduced.,Under Investigation,4142.44,1256.68,631.26,Available buffers were used while the affected area recovered.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000030,C1,2023-05-22T06:00:00,2023-05-22T07:00:00,1.00,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,PLT-RU-EVA-CIR,PV-EVA-CIR-01,System,Production Rate Reduction,Equipment Failure,VALVE_STICTION,Valve travel sticks during small command changes; mill throughput reduced during stabilization.,Probable,4187.74,3412.24,32.31,Throughput was limited until operating conditions stabilized.,FALSE,POST_MAINTENANCE_RECURRENCE,1,N0000075,2023-02-28,Instrumentation,WO0000040,WORK_COMPLETED,Valve overhaul,R4,4,83,N0000075,2023-03-18,65
LE000031,C1,2023-05-23T06:30:00,2023-05-23T10:00:00,3.50,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,PLT-RU-EVA-CON,M-EVA-CON-01,System,Production Rate Reduction,Equipment Failure,INSULATION_DEGRADATION,Insulation test trending below reference; mill throughput reduced during stabilization.,Probable,4189.40,3601.49,85.74,Throughput was limited until operating conditions stabilized.,FALSE,POST_MAINTENANCE_RECURRENCE,1,N0000013,2023-01-07,Electrical,WO0000009,WORK_COMPLETED,Component replacement,R4,4,136,N0000013,2023-01-28,115
LE000032,C1,2023-05-28T17:30:00,2023-05-28T22:45:00,5.25,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,PLT-FL-DRY-DRS,PV-DRY-DRS-01,System,Production Rate Reduction,Instrumentation / Control,POSITIONER_DEVIATION,Valve feedback differs from demanded position; mill throughput reduced during stabilization.,Probable,4172.48,3423.65,163.81,Throughput was limited until operating conditions stabilized.,FALSE,KNOWN_UNTREATED_DEFECT,1,N0000023,2023-01-15,Valves,,MONITOR_CONDITION,Inspection only,R2,2,133,,,
LE000033,C1,2023-06-01T15:30:00,2023-06-01T17:45:00,2.25,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,PLT-RU-UTL-PWT,FT-UTL-PWT-01,System,Production Rate Reduction,Instrumentation / Control,CALIBRATION_DEVIATION,Measured output outside calibration tolerance; mill throughput reduced during stabilization.,Probable,4333.87,3632.13,65.79,Throughput was limited until operating conditions stabilized.,FALSE,KNOWN_UNTREATED_DEFECT,1,N0000156,2023-05-01,Instrumentation,WO0000086,WORK_COMPLETED,Calibration,R7,7,31,,,
LE000034,C1,2023-06-04T05:00:00,2023-06-04T09:00:00,4.00,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,PLT-RU-UTL-PWT,M-UTL-PWT-01,System,Production Rate Reduction,Equipment Failure,MOTOR_OVERHEATING,Motor temperature rising at normal load; mill throughput reduced during stabilization.,Confirmed,4229.17,3683.60,90.93,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000035,C1,2023-06-22T05:15:00,2023-06-22T06:45:00,1.50,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,PLT-RU-LIM-BRN,BRN-LIM-BRN-01,System,Production Rate Reduction,Equipment Failure,MECHANICAL_BINDING,Mechanism travel is uneven with elevated resistance; mill throughput reduced during stabilization.,Confirmed,4200.61,3854.94,21.60,Throughput was limited until operating conditions stabilized.,FALSE,POST_MAINTENANCE_RECURRENCE,1,N0000053,2023-02-10,Mechanical,WO0000029,WORK_COMPLETED,Adjustment,R3,3,132,N0000053,2023-03-03,111
LE000036,C1,2023-06-26T20:30:00,2023-06-27T01:15:00,4.75,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,PLT-RU-RB-SBL,,System,Production Rate Reduction,Process Upset,PROCESS_INSTABILITY,Process oscillations required reduced mill throughput; mill throughput reduced during stabilization.,Under Investigation,4179.01,2947.05,243.83,Throughput was limited until operating conditions stabilized.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000037,C1,2023-06-30T05:45:00,2023-06-30T06:45:00,1.00,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,PLT-RU-EVA-CON,P-EVA-CON-01,Area,Area Shutdown,Equipment Failure,LOW_FLOW,Delivered flow below expected operating range; area operation stopped and mill output reduced.,Probable,4145.26,1218.49,121.95,Available buffers were used while the affected area recovered.,TRUE,NO_PRIOR_DETECTION,0,,,,,,,,,,,,
LE000038,C1,2023-07-04T03:00:00,2023-07-04T08:00:00,5.00,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,PLT-RU-UTL-ELD,CB-UTL-ELD-01,System,Production Rate Reduction,Equipment Failure,INSULATION_DEGRADATION,Insulation test trending below reference; mill throughput reduced during stabilization.,Under Investigation,4219.44,2804.92,294.69,Throughput was limited until operating conditions stabilized.,TRUE,NO_PRIOR_DETECTION,0,,,,,,,,,,,,
LE000039,C1,2023-07-09T21:30:00,2023-07-10T00:15:00,2.75,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,PLT-FL-DRY-PMF,FT-DRY-PMF-01,System,Production Rate Reduction,Instrumentation / Control,INTERMITTENT_SIGNAL,Intermittent signal dropout at stable process conditions; mill throughput reduced during stabilization.,Confirmed,4143.37,3282.66,98.62,Throughput was limited until operating conditions stabilized.,TRUE,NO_PRIOR_DETECTION,0,,,,,,,,,,,,
LE000040,C1,2023-07-12T14:45:00,2023-07-12T20:45:00,6.00,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,PLT-RU-LIM-LMF,M-LIM-LMF-01,System,Production Rate Reduction,Equipment Failure,INSULATION_DEGRADATION,Insulation test trending below reference; mill throughput reduced during stabilization.,Confirmed,4168.58,3740.46,107.03,Throughput was limited until operating conditions stabilized.,TRUE,POST_MAINTENANCE_RECURRENCE,1,N0000094,2023-03-18,Electrical,WO0000052,WORK_COMPLETED,Component replacement,R7,7,116,N0000094,2023-04-25,78
LE000041,C1,2023-07-17T18:30:00,2023-07-18T19:15:00,24.75,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,PLT-FL-DIG-CIR,P-DIG-CIR-01,Mill,Mill Shutdown,Equipment Failure,PUMP_BEARING_VIBRATION,Elevated vibration at pump bearing housing; mill production stopped for recovery.,Probable,4146.81,39.10,4236.08,Shift coordinated isolation and a staged mill restart.,TRUE,KNOWN_UNTREATED_DEFECT,2,N0000159,2023-05-01,Mechanical,WO0000088,CANCELLED,,R2,2,77,,,
LE000042,C1,2023-07-20T13:15:00,2023-07-22T02:45:00,37.50,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,PLT-FL-DRY-HYD,HPU-DRY-HYD-01,Area,Area Shutdown,Equipment Failure,HYD_PRESS_INSTABILITY,Hydraulic header pressure oscillates under steady demand; area operation stopped and mill output reduced.,Probable,4117.94,1226.96,4517.16,Available buffers were used while the affected area recovered.,TRUE,KNOWN_UNTREATED_DEFECT,2,N0000158,2023-05-01,Instrumentation,WO0000087,MONITOR_CONDITION,Inspection only,R2,2,80,,,
LE000043,C1,2023-07-23T20:45:00,2023-07-23T21:45:00,1.00,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,PLT-FL-DIG-BLC,PT-DIG-BLC-01,System,Production Rate Reduction,Instrumentation / Control,CALIBRATION_DEVIATION,Measured output outside calibration tolerance; mill throughput reduced during stabilization.,Confirmed,4195.86,3285.17,37.95,Throughput was limited until operating conditions stabilized.,TRUE,NO_PRIOR_DETECTION,0,,,,,,,,,,,,
LE000044,C1,2023-07-24T13:45:00,2023-07-24T15:00:00,1.25,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,PLT-RU-EVA-CON,P-EVA-CON-01,Area,Area Shutdown,Equipment Failure,LOW_FLOW,Delivered flow below expected operating range; area operation stopped and mill output reduced.,Confirmed,4194.97,2209.64,103.40,Available buffers were used while the affected area recovered.,TRUE,NO_PRIOR_DETECTION,0,,,,,,,,,,,,
LE000045,C1,2023-07-24T21:00:00,2023-07-25T09:00:00,12.00,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,PLT-RU-RB-SBL,SBL-RB-SBL-01,System,Production Rate Reduction,Equipment Failure,PROCESS_RESTRICTION,Process differential pressure above normal operating range; mill throughput reduced during stabilization.,Confirmed,4181.68,3667.32,257.18,Throughput was limited until operating conditions stabilized.,TRUE,NO_PRIOR_DETECTION,0,,,,,,,,,,,,
LE000046,C1,2023-07-26T10:15:00,2023-07-26T14:45:00,4.50,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,PLT-RU-LIM-IDF,FAN-LIM-IDF-01,System,Production Rate Reduction,Equipment Failure,BEARING_TEMPERATURE,Bearing temperature trending above baseline; mill throughput reduced during stabilization.,Confirmed,4291.09,3354.46,175.62,Throughput was limited until operating conditions stabilized.,TRUE,NO_PRIOR_DETECTION,0,,,,,,,,,,,,
LE000047,C1,2023-07-27T04:45:00,2023-07-27T17:00:00,12.25,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,PLT-RU-UTL-STM,PT-UTL-STM-01,System,Production Rate Reduction,Instrumentation / Control,IMPULSE_LINE_RESTRICTION,Pressure response delayed during process change; mill throughput reduced during stabilization.,Confirmed,4416.96,3018.06,714.02,Throughput was limited until operating conditions stabilized.,TRUE,KNOWN_UNTREATED_DEFECT,1,N0000232,2023-07-20,Instrumentation,,MONITOR_CONDITION,Inspection only,R1,1,7,,,
LE000048,C1,2023-07-29T16:15:00,2023-07-29T19:00:00,2.75,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,PLT-RU-EVA-CIR,P-EVA-CIR-01,Mill,Mill Shutdown,Equipment Failure,OIL_CONTAMINATION,Oil sample shows elevated contamination; mill production stopped for recovery.,Probable,4279.62,19.61,488.13,Shift coordinated isolation and a staged mill restart.,TRUE,OTHER_AMBIGUOUS,0,,,,,,,,,,N0000007,2023-03-03,148
LE000049,C1,2023-07-30T06:15:00,2023-07-30T08:45:00,2.50,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,PLT-FL-BLE-TWR,PV-BLE-TWR-01,System,Production Rate Reduction,Equipment Failure,EXTERNAL_LEAKAGE,Visible leakage at valve packing; mill throughput reduced during stabilization.,Confirmed,4335.04,3402.67,97.12,Throughput was limited until operating conditions stabilized.,TRUE,KNOWN_UNTREATED_DEFECT,3,N0000235,2023-07-22,Valves,WO0000136,WORK_COMPLETED,Seal replacement,R7,7,8,,,
LE000050,C1,2023-07-30T21:45:00,2023-07-30T22:45:00,1.00,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,PLT-RU-RB-FWS,M-RB-FWS-01,System,Production Rate Reduction,Equipment Failure,INSULATION_DEGRADATION,Insulation test trending below reference; mill throughput reduced during stabilization.,Confirmed,4206.50,3310.46,37.34,Throughput was limited until operating conditions stabilized.,TRUE,NO_PRIOR_DETECTION,0,,,,,,,,,,,,
LE000051,C1,2023-07-31T14:00:00,2023-07-31T15:00:00,1.00,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,PLT-RU-EVA-CIR,M-EVA-CIR-01,Area,Area Shutdown,Equipment Failure,MOTOR_BEARING_VIBRATION,Motor bearing vibration above baseline; area operation stopped and mill output reduced.,Under Investigation,4033.44,1152.88,120.02,Available buffers were used while the affected area recovered.,TRUE,KNOWN_UNTREATED_DEFECT,1,N0000161,2023-05-02,Electrical,,NO_ACTION_REQUIRED,Inspection only,R7,7,90,,,
LE000052,C1,2023-08-05T05:15:00,2023-08-05T07:15:00,2.00,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,PLT-RU-CAU-GLC,,System,Production Rate Reduction,Process Upset,PROCESS_RESTRICTION,Process restriction limited transfer capacity; mill throughput reduced during stabilization.,Confirmed,4245.87,3587.98,54.82,Throughput was limited until operating conditions stabilized.,TRUE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
