notification_id,work_order_id,functional_location,asset_id,notification_date,notification_priority,notification_source,detected_by_team,inspection_route_type,symptom,failure_mode,repeat_failure_code,responsible_discipline,reassigned_discipline,planner_group,notification_status,order_created_date,order_type,order_status,planned_start_date,planned_finish_date,actual_start_date,actual_end_date,replanning_count,closure_code,closure_text,action_type,action_text,defect_confirmed,labor_hours,maintenance_cost,linked_loss_event_id,island,area,system_id,system_name,asset_type,asset_criticality,converted_to_order,closed_without_order,confirmed_closed_without_order,unconfirmed_closed_without_order,recurrent_notification,days_since_previous_same_defect,notification_age_days,days_to_order,execution_lead_days,active_backlog,risk_class,risk_sort_order,defect_status,maintenance_response_state
N0000011,,PLT-FL-DIG-CIR,PT-DIG-CIR-01,2023-01-05,2,Operator Report,Digester - Operations,,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,DIG-AUTOMATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.85,214.47,,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Pressure Transmitter,B,FALSE,TRUE,TRUE,FALSE,FALSE,,1045,,,FALSE,R4,4,Defect almost failure,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000012,,PLT-FL-WSH-SCR,P-WSH-SCR-01,2023-01-06,3,Operator Report,Washing & Screening - Operations,,Crackling noise and unstable suction pressure.,CAVITATION,CAVITATION,Mechanical,,WSH-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.80,192.77,,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Pump,B,FALSE,TRUE,TRUE,FALSE,FALSE,,1044,,,FALSE,R7,7,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000013,WO0000009,PLT-RU-EVA-CON,M-EVA-CON-01,2023-01-07,2,Planned Inspection,Evaporation - Inspection,Planned Inspection,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Electrical,,EVA-ELECTRICAL,Closed,2023-01-10,PM02,Completed,2023-01-26,2023-01-28,2023-01-26,2023-01-28,1,WORK_COMPLETED,Corrective scope executed and checked.,Component replacement,Component replacement performed; post-work functional check within tolerance.,TRUE,19.79,19061.30,,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1043,3,21,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000014,WO0000010,PLT-RU-RB-STM,TT-RB-STM-01,2023-01-10,3,Operator Route,Recovery Boiler - Operations,Sensory Route,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,RB-AUTOMATION,Closed,2023-01-12,PM02,Completed,2023-04-04,2023-04-04,2023-04-04,2023-04-04,5,WORK_COMPLETED,Corrective scope executed and checked.,Instrument replacement,Instrument replacement performed; post-work functional check within tolerance.,TRUE,5.89,4782.76,,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,Temperature Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1040,2,84,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000015,,PLT-FL-BLE-STW,FV-BLE-STW-01,2023-01-11,3,Process Alarm,Bleaching - Control Room,Process / Control Monitoring,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Instrumentation,,BLE-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.63,329.27,,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,Control Valve,B,FALSE,TRUE,TRUE,FALSE,FALSE,,1039,,,FALSE,R7,7,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000016,WO0000011,PLT-RU-UTL-CWT,P-UTL-CWT-01,2023-01-11,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,Lubrication,UTL-LUBRICATION,Closed,2023-01-15,PM02,Completed,2023-01-30,2023-01-31,2023-01-30,2023-01-31,0,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,9.91,7100.16,,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,Pump,A,TRUE,FALSE,FALSE,FALSE,FALSE,,1039,4,20,FALSE,R5,5,Defect,COMPLETED_CORRECTIVE_ACTION
N0000017,,PLT-RU-UTL-AIR,CMP-UTL-AIR-01,2023-01-12,3,Operator Report,Utilities - Operations,,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,,UTL-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.07,187.35,,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,Compressor,A,FALSE,TRUE,FALSE,TRUE,FALSE,,1038,,,FALSE,R5,5,Defect,CLOSED_UNCONFIRMED_WITHOUT_ORDER
N0000018,,PLT-RU-CAU-GLH,FV-CAU-GLH-01,2023-01-13,3,Operator Report,Causticizing - Operations,,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,CAU-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.97,336.81,,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,Control Valve,B,FALSE,TRUE,TRUE,FALSE,FALSE,,1037,,,FALSE,R7,7,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000019,WO0000012,PLT-RU-UTL-AIR,DRY-UTL-AIR-01,2023-01-14,3,Operator Route,Utilities - Operations,Sensory Route,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,,UTL-MECHANICAL,Closed,2023-01-14,PM02,Completed,2023-02-11,2023-02-13,2023-02-11,2023-02-13,1,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,1.74,335.73,,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,Air Dryer,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1036,0,30,FALSE,R7,7,Defect,MONITOR_CONDITION
N0000020,,PLT-RU-LIM-IDF,DV-LIM-IDF-01,2023-01-14,3,Operator Route,Lime Kiln - Operations,Sensory Route,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,LIM-AUTOMATION,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.94,234.61,,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,Damper,B,FALSE,TRUE,TRUE,FALSE,FALSE,,1036,,,FALSE,R7,7,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000021,,PLT-FL-DIG-IMP,P-DIG-IMP-01,2023-01-14,2,Maintenance Sensory Route,Digester - Maintenance Route A,Sensory Route,Leakage at shaft seal.,SEAL_LEAKAGE,SEAL_LEAKAGE,Mechanical,,DIG-MECHANICAL,Closed,,,,,,,,,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.75,293.88,,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,Pump,A,FALSE,TRUE,FALSE,TRUE,FALSE,,1036,,,FALSE,R2,2,Defect almost failure,CLOSED_UNCONFIRMED_WITHOUT_ORDER
N0000022,,PLT-FL-DIG-CIR,TT-DIG-CIR-01,2023-01-14,3,Planned Inspection,Digester - Inspection,Planned Inspection,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,DIG-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.44,307.71,,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Temperature Transmitter,B,FALSE,TRUE,TRUE,FALSE,FALSE,,1036,,,FALSE,R7,7,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000023,,PLT-FL-DRY-DRS,PV-DRY-DRS-01,2023-01-15,2,Process Alarm,Drying - Control Room,Process / Control Monitoring,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,DRY-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.83,189.26,,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,Control Valve,A,FALSE,TRUE,TRUE,FALSE,FALSE,,1035,,,FALSE,R2,2,Defect almost failure,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000024,WO0000013,PLT-RU-EVA-CIR,P-EVA-CIR-01,2023-01-16,3,Maintenance Sensory Route,Evaporation - Maintenance Route A,Sensory Route,Lubricant level below normal mark.,LOW_LUBE_LEVEL,LOW_LUBE_LEVEL,Lubrication,,EVA-LUBRICATION,Closed,2023-01-21,PM02,Completed,2023-03-02,2023-03-02,2023-03-02,2023-03-02,0,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,1.77,873.94,,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Pump,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1034,5,45,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000025,,PLT-FL-DIG-CIR,FV-DIG-CIR-01,2023-01-18,3,Planned Inspection,Digester - Inspection,Planned Inspection,Valve travel sticks during small command changes.,VALVE_STICTION,VALVE_STICTION,Instrumentation,,DIG-INSTRUMENTATION,Closed,,,,,,,,,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.64,310.07,,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Control Valve,A,FALSE,TRUE,FALSE,TRUE,FALSE,,1032,,,FALSE,R5,5,Defect,CLOSED_UNCONFIRMED_WITHOUT_ORDER
N0000026,,PLT-RU-UTL-BFW,FV-UTL-BFW-01,2023-01-18,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,UTL-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.85,204.59,,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,Control Valve,A,FALSE,TRUE,FALSE,TRUE,FALSE,,1032,,,FALSE,R5,5,Defect,CLOSED_UNCONFIRMED_WITHOUT_ORDER
N0000027,WO0000014,PLT-RU-UTL-BFW,P-UTL-BFW-01,2023-01-20,3,Planned Inspection,Utilities - Inspection,Planned Inspection,Crackling noise and unstable suction pressure.,CAVITATION,CAVITATION,Condition Monitoring,,UTL-CONDITION_MONITORING,Closed,2023-01-22,PM02,Completed,2023-04-01,2023-04-03,2023-04-01,2023-04-03,3,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,4.29,1137.86,,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,Pump,A,TRUE,FALSE,FALSE,FALSE,FALSE,,1030,2,73,FALSE,R5,5,Defect,COMPLETED_CORRECTIVE_ACTION
N0000028,WO0000015,PLT-RU-LIM-BRN,FV-LIM-BRN-01,2023-01-21,3,Planned Inspection,Lime Kiln - Inspection,Planned Inspection,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Instrumentation,,LIM-INSTRUMENTATION,Closed,2023-01-22,PM02,Completed,2023-03-17,2023-03-18,2023-03-17,2023-03-18,1,WORK_COMPLETED,Corrective scope executed and checked.,Calibration,Calibration performed; post-work functional check within tolerance.,TRUE,4.33,1387.13,,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,Control Valve,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1029,1,56,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000029,,PLT-RU-UTL-BFW,FV-UTL-BFW-01,2023-01-21,3,Operator Report,Utilities - Operations,,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,UTL-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.38,118.16,,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,Control Valve,A,FALSE,TRUE,FALSE,TRUE,FALSE,,1029,,,FALSE,R5,5,Defect,CLOSED_UNCONFIRMED_WITHOUT_ORDER
N0000030,WO0000016,PLT-RU-CAU-WLC,M-CAU-WLC-01,2023-01-22,2,Operator Route,Causticizing - Operations,Sensory Route,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Electrical,,CAU-ELECTRICAL,Closed,2023-01-22,PM02,Completed,2023-02-06,2023-02-07,2023-02-06,2023-02-07,0,WORK_COMPLETED,Corrective scope executed and checked.,Tightening,Tightening performed; post-work functional check within tolerance.,TRUE,4.65,1139.37,,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Motor,A,TRUE,FALSE,FALSE,FALSE,FALSE,,1028,0,16,FALSE,R2,2,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000031,,PLT-RU-RB-SMT,M-RB-SMT-01,2023-01-22,3,Planned Inspection,Recovery Boiler - Inspection,Planned Inspection,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Electrical,,RB-ELECTRICAL,Closed,,,,,,,,,OPERATING_CONDITION,Observed response is within the current operating envelope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.64,142.21,,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,Motor,B,FALSE,TRUE,FALSE,TRUE,FALSE,,1028,,,FALSE,R7,7,Defect,CLOSED_UNCONFIRMED_WITHOUT_ORDER
N0000032,,PLT-FL-DIG-CHP,XV-DIG-CHP-01,2023-01-23,2,Maintenance Sensory Route,Digester - Maintenance Route A,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,DIG-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.69,175.28,,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,On/Off Valve,B,FALSE,TRUE,TRUE,FALSE,FALSE,,1027,,,FALSE,R4,4,Defect almost failure,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000033,WO0000017,PLT-FL-DRY-LUB,PT-DRY-LUB-01,2023-01-24,3,Process Alarm,Drying - Control Room,Process / Control Monitoring,Control sequence response differs from approved logic.,CONTROL_SEQUENCE_DEVIATION,CONTROL_SEQUENCE_DEVIATION,Automation,,DRY-AUTOMATION,Closed,2023-01-28,PM02,Completed,2023-02-10,2023-02-11,2023-02-10,2023-02-11,0,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,1.59,296.76,,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Pressure Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1026,4,18,FALSE,R7,7,Defect,MONITOR_CONDITION
N0000034,,PLT-RU-CAU-SLK,SLK-CAU-SLK-01,2023-01-24,3,Operator Route,Causticizing - Operations,Sensory Route,Process differential pressure above normal operating range.,PROCESS_RESTRICTION,PROCESS_RESTRICTION,Mechanical,,CAU-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.65,161.28,,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,Slaker,A,FALSE,TRUE,TRUE,FALSE,FALSE,,1026,,,FALSE,R5,5,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000035,WO0000018,PLT-RU-CAU-WLC,FT-CAU-WLC-01,2023-01-25,1,Planned Inspection,Causticizing - Inspection,Planned Inspection,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,CAU-INSTRUMENTATION,Closed,2023-01-28,CM01,Completed,2023-01-28,2023-01-28,2023-01-28,2023-01-28,0,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,0.98,189.21,,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Flow Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1025,3,3,FALSE,R3,3,Fault,MONITOR_CONDITION
N0000036,,PLT-RU-RB-SBL,ZS-RB-SBL-01,2023-01-25,3,Planned Inspection,Recovery Boiler - Inspection,Planned Inspection,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Instrumentation,,RB-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.96,336.48,,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,Position Switch,C,FALSE,TRUE,TRUE,FALSE,FALSE,,1025,,,FALSE,R9,9,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000037,WO0000019,PLT-FL-WSH-FIL,M-WSH-FIL-01,2023-01-26,3,Maintenance Sensory Route,Washing & Screening - Maintenance Route A,Sensory Route,Motor bearing vibration above baseline.,MOTOR_BEARING_VIBRATION,MOTOR_BEARING_VIBRATION,Electrical,,WSH-ELECTRICAL,Closed,2023-01-27,PM02,Completed,2023-03-02,2023-03-04,2023-03-02,2023-03-04,1,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,10.00,6452.53,,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1024,1,37,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000038,WO0000020,PLT-RU-CAU-REA,AG-CAU-REA-01,2023-01-28,2,Condition Monitoring,Causticizing - Condition Monitoring,Predictive Route,Rotating assembly shows dominant once-per-revolution vibration.,IMBALANCE,IMBALANCE,Condition Monitoring,,CAU-CONDITION_MONITORING,Closed,2023-01-29,PM02,Completed,2023-03-22,2023-03-24,2023-03-22,2023-03-24,2,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,12.00,5940.55,,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,Agitator,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1022,1,55,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
