bad_actor_rank,asset_id,functional_location,island,area,system_id,system_name,asset_type,asset_criticality,production_loss_event_count,total_production_loss_adt,average_loss_adt,maximum_loss_adt,maintenance_notification_count,confirmed_defect_count,recurrent_notification_count,active_backlog_count,highest_active_risk_class,highest_active_risk_sort_order,known_untreated_loss_event_count,known_untreated_loss_adt,post_maintenance_recurrence_event_count,post_maintenance_recurrence_loss_adt
50,FAN-LIM-IDF-01,PLT-RU-LIM-IDF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,Fan,A,2,316.64,158.32,175.62,4,4,0,0,,,1,141.02,0,0.00
51,FV-RB-FWS-01,PLT-RU-RB-FWS,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,Control Valve,A,1,315.37,315.37,315.37,12,10,4,1,R5,5,0,0.00,1,315.37
52,P-CAU-LMH-01,PLT-RU-CAU-LMH,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,Pump,B,1,296.39,296.39,296.39,10,10,0,0,,,0,0.00,0,0.00
53,P-WSH-BSW-01,PLT-FL-WSH-BSW,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,Pump,B,1,285.98,285.98,285.98,7,3,0,0,,,0,0.00,1,285.98
54,SLK-CAU-SLK-01,PLT-RU-CAU-SLK,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,Slaker,A,2,281.65,140.83,148.68,8,7,2,0,,,0,0.00,0,0.00
55,PV-DIG-BLC-01,PLT-FL-DIG-BLC,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,Control Valve,A,2,280.77,140.39,191.35,9,8,2,0,,,0,0.00,0,0.00
56,FT-LIM-LMF-01,PLT-RU-LIM-LMF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,Flow Transmitter,B,2,275.66,137.83,144.16,6,5,1,0,,,1,131.50,1,144.16
57,FV-LIM-LMF-01,PLT-RU-LIM-LMF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,Control Valve,B,1,269.73,269.73,269.73,7,4,2,2,R7,7,0,0.00,0,0.00
58,M-LIM-DRV-01,PLT-RU-LIM-DRV,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-DRV,Kiln Drive,Motor,A,3,268.64,89.55,128.37,6,4,0,0,,,0,0.00,1,128.37
59,P-CAU-WLC-01,PLT-RU-CAU-WLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Pump,A,1,255.72,255.72,255.72,7,7,0,0,,,1,255.72,0,0.00
60,M-DIG-CIR-01,PLT-FL-DIG-CIR,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Motor,A,1,250.21,250.21,250.21,9,9,0,0,,,1,250.21,0,0.00
61,P-DRY-PMF-01,PLT-FL-DRY-PMF,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,Pump,A,1,245.50,245.50,245.50,4,4,0,0,,,0,0.00,0,0.00
62,LT-CAU-GLC-01,PLT-RU-CAU-GLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,Level Transmitter,B,1,232.52,232.52,232.52,9,7,2,0,,,0,0.00,0,0.00
63,M-DIG-CHP-01,PLT-FL-DIG-CHP,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,Motor,A,1,222.51,222.51,222.51,10,8,0,0,,,0,0.00,0,0.00
64,P-DRY-HYD-01,PLT-FL-DRY-HYD,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Hydraulic Pump,A,1,206.74,206.74,206.74,6,6,1,0,,,0,0.00,1,206.74
65,CUT-DRY-SHT-01,PLT-FL-DRY-SHT,Fiber Line,Drying,SYS-FL-DRY-SHT,Sheet Handling / Cutter,Cutter,B,2,204.30,102.15,150.48,2,2,1,0,,,2,204.30,0,0.00
66,FT-LIM-BRN-01,PLT-RU-LIM-BRN,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,Flow Transmitter,B,1,201.91,201.91,201.91,6,6,1,0,,,1,201.91,0,0.00
67,CMP-UTL-AIR-01,PLT-RU-UTL-AIR,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,Compressor,A,1,199.39,199.39,199.39,7,6,1,0,,,0,0.00,1,199.39
68,LT-DIG-DIS-01,PLT-FL-DIG-DIS,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,Level Transmitter,B,1,198.37,198.37,198.37,4,3,1,0,,,0,0.00,0,0.00
69,MCC-UTL-ELD-01,PLT-RU-UTL-ELD,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,Motor Control Center,A,1,197.71,197.71,197.71,7,4,0,0,,,0,0.00,0,0.00
70,PT-DRY-PRS-01,PLT-FL-DRY-PRS,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,Pressure Transmitter,B,1,179.78,179.78,179.78,8,7,0,0,,,1,179.78,0,0.00
71,PV-BLE-TWR-01,PLT-FL-BLE-TWR,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,Control Valve,B,2,178.66,89.33,97.12,8,6,2,0,,,1,97.12,0,0.00
72,PT-UTL-AIR-01,PLT-RU-UTL-AIR,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,Pressure Transmitter,A,1,168.75,168.75,168.75,8,7,2,1,R2,2,0,0.00,0,0.00
73,DPIT-WSH-SCR-01,PLT-FL-WSH-SCR,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Differential Pressure Transmitter,C,1,158.45,158.45,158.45,11,7,1,1,R9,9,1,158.45,0,0.00
74,P-EVA-BLF-01,PLT-RU-EVA-BLF,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,Pump,B,1,152.90,152.90,152.90,6,6,1,0,,,1,152.90,0,0.00
75,P-DIG-DIS-01,PLT-FL-DIG-DIS,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,Pump,A,1,151.37,151.37,151.37,12,10,0,1,R5,5,1,151.37,0,0.00
76,FV-DIG-IMP-01,PLT-FL-DIG-IMP,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,Control Valve,A,2,149.60,74.80,92.14,4,3,0,0,,,0,0.00,0,0.00
77,M-CAU-REA-01,PLT-RU-CAU-REA,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,Motor,B,1,141.80,141.80,141.80,7,6,0,0,,,0,0.00,0,0.00
78,FT-RB-BLF-01,PLT-RU-RB-BLF,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,Flow Transmitter,A,1,120.89,120.89,120.89,5,4,1,0,,,0,0.00,1,120.89
79,M-RB-BLF-01,PLT-RU-RB-BLF,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,Motor,A,1,117.75,117.75,117.75,9,7,0,0,,,0,0.00,0,0.00
80,M-DIG-IMP-01,PLT-FL-DIG-IMP,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,Motor,A,1,114.86,114.86,114.86,7,6,0,0,,,0,0.00,1,114.86
81,PT-RB-STM-01,PLT-RU-RB-STM,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,Pressure Transmitter,A,1,114.76,114.76,114.76,9,8,1,0,,,1,114.76,0,0.00
82,M-LIM-LMF-01,PLT-RU-LIM-LMF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,Motor,B,1,107.03,107.03,107.03,7,7,0,0,,,0,0.00,1,107.03
83,M-BLE-STW-01,PLT-FL-BLE-STW,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,Motor,B,2,107.00,53.50,55.64,6,4,0,1,R4,4,1,55.64,0,0.00
84,M-RB-AIR-01,PLT-RU-RB-AIR,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,Motor,A,1,106.55,106.55,106.55,7,6,0,0,,,0,0.00,0,0.00
85,FV-LIM-BRN-01,PLT-RU-LIM-BRN,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,Control Valve,B,1,102.12,102.12,102.12,5,4,1,0,,,0,0.00,0,0.00
86,FT-DRY-PMF-01,PLT-FL-DRY-PMF,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,Flow Transmitter,B,1,98.62,98.62,98.62,8,4,3,0,,,0,0.00,0,0.00
87,TT-UTL-STM-01,PLT-RU-UTL-STM,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,Temperature Transmitter,B,1,97.94,97.94,97.94,6,5,0,0,,,0,0.00,0,0.00
88,FV-CAU-LMH-01,PLT-RU-CAU-LMH,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,Control Valve,B,1,93.97,93.97,93.97,7,5,1,0,,,0,0.00,0,0.00
89,FT-CAU-WLC-01,PLT-RU-CAU-WLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Flow Transmitter,B,1,86.53,86.53,86.53,7,7,2,0,,,0,0.00,0,0.00
90,M-EVA-CON-01,PLT-RU-EVA-CON,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,Motor,B,1,85.74,85.74,85.74,5,5,0,0,,,0,0.00,1,85.74
91,M-DRY-LUB-01,PLT-FL-DRY-LUB,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Motor,C,1,75.86,75.86,75.86,6,5,0,0,,,0,0.00,0,0.00
92,FT-UTL-PWT-01,PLT-RU-UTL-PWT,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,Flow Transmitter,B,1,65.79,65.79,65.79,7,7,1,1,R7,7,1,65.79,0,0.00
93,SCR-WSH-SCR-01,PLT-FL-WSH-SCR,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Screen,B,1,65.77,65.77,65.77,8,4,0,1,R7,7,1,65.77,0,0.00
94,PSHH-RB-STM-01,PLT-RU-RB-STM,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,Pressure Switch,A,1,64.21,64.21,64.21,5,3,0,0,,,0,0.00,0,0.00
95,FV-BLE-STW-01,PLT-FL-BLE-STW,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,Control Valve,B,1,49.46,49.46,49.46,9,9,1,0,,,1,49.46,0,0.00
96,M-DIG-DIS-01,PLT-FL-DIG-DIS,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,Motor,A,1,44.52,44.52,44.52,7,7,0,0,,,0,0.00,1,44.52
97,GB-LIM-DRV-01,PLT-RU-LIM-DRV,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-DRV,Kiln Drive,Gearbox,A,1,39.46,39.46,39.46,6,4,0,1,R5,5,0,0.00,0,0.00
98,AG-BLE-CHM-01,PLT-FL-BLE-CHM,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Agitator,B,1,30.72,30.72,30.72,10,8,1,0,,,0,0.00,0,0.00
99,PT-DRY-LUB-01,PLT-FL-DRY-LUB,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Pressure Transmitter,B,1,28.42,28.42,28.42,7,7,0,0,,,1,28.42,0,0.00
100,BRN-LIM-BRN-01,PLT-RU-LIM-BRN,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,Burner,B,1,21.60,21.60,21.60,7,6,1,0,,,0,0.00,1,21.60
101,PT-DRY-HYD-01,PLT-FL-DRY-HYD,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Pressure Transmitter,B,1,20.03,20.03,20.03,8,7,1,0,,,0,0.00,0,0.00
102,TR-UTL-ELD-01,PLT-RU-UTL-ELD,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,Transformer,A,1,18.26,18.26,18.26,5,4,1,0,,,0,0.00,0,0.00
103,FV-EVA-BLF-01,PLT-RU-EVA-BLF,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,Control Valve,B,1,16.99,16.99,16.99,7,7,1,0,,,1,16.99,0,0.00
104,AG-CAU-GLC-01,PLT-RU-CAU-GLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,Clarifier Drive,B,0,0.00,0.00,0.00,2,1,0,0,,,0,0.00,0,0.00
105,AG-CAU-REA-01,PLT-RU-CAU-REA,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,Agitator,B,0,0.00,0.00,0.00,10,10,2,2,R7,7,0,0.00,0,0.00
106,AG-CAU-WLC-01,PLT-RU-CAU-WLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Agitator,B,0,0.00,0.00,0.00,8,8,0,0,,,0,0.00,0,0.00
107,DPIT-BLE-STW-01,PLT-FL-BLE-STW,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,Differential Pressure Transmitter,C,0,0.00,0.00,0.00,5,4,1,0,,,0,0.00,0,0.00
108,DRV-DRY-FOR-01,PLT-FL-DRY-FOR,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,Drive,A,0,0.00,0.00,0.00,4,4,0,0,,,0,0.00,0,0.00
109,DRV-DRY-PRS-01,PLT-FL-DRY-PRS,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,Drive,A,0,0.00,0.00,0.00,3,2,0,1,R5,5,0,0.00,0,0.00
110,DRV-WSH-BSW-01,PLT-FL-WSH-BSW,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,Drive,B,0,0.00,0.00,0.00,6,2,0,0,,,0,0.00,0,0.00
111,DRY-UTL-AIR-01,PLT-RU-UTL-AIR,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,Air Dryer,B,0,0.00,0.00,0.00,7,6,3,0,,,0,0.00,0,0.00
112,DV-RB-AIR-01,PLT-RU-RB-AIR,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,Damper,A,0,0.00,0.00,0.00,6,6,1,0,,,0,0.00,0,0.00
113,ENC-DRY-SHT-01,PLT-FL-DRY-SHT,Fiber Line,Drying,SYS-FL-DRY-SHT,Sheet Handling / Cutter,Encoder,B,0,0.00,0.00,0.00,6,4,0,0,,,0,0.00,0,0.00
114,FAN-DRY-DRS-01,PLT-FL-DRY-DRS,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,Fan,A,0,0.00,0.00,0.00,9,9,1,0,,,0,0.00,0,0.00
115,FAN-RB-AIR-01,PLT-RU-RB-AIR,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,Fan,A,0,0.00,0.00,0.00,1,1,0,0,,,0,0.00,0,0.00
116,FT-BLE-CHM-01,PLT-FL-BLE-CHM,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Flow Transmitter,B,0,0.00,0.00,0.00,6,5,0,0,,,0,0.00,0,0.00
117,FV-BLE-DOS-01,PLT-FL-BLE-DOS,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,Control Valve,B,0,0.00,0.00,0.00,9,8,2,0,,,0,0.00,0,0.00
118,FV-CAU-SLK-01,PLT-RU-CAU-SLK,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,Control Valve,B,0,0.00,0.00,0.00,3,3,0,0,,,0,0.00,0,0.00
119,FV-DRY-PMF-01,PLT-FL-DRY-PMF,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,Control Valve,A,0,0.00,0.00,0.00,5,4,0,1,R5,5,0,0.00,0,0.00
120,FV-RB-BLF-01,PLT-RU-RB-BLF,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,Control Valve,A,0,0.00,0.00,0.00,7,6,0,0,,,0,0.00,0,0.00
121,FV-UTL-BFW-01,PLT-RU-UTL-BFW,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,Control Valve,A,0,0.00,0.00,0.00,6,3,0,0,,,0,0.00,0,0.00
