notification_id,work_order_id,functional_location,asset_id,notification_date,notification_priority,notification_source,detected_by_team,inspection_route_type,symptom,failure_mode,repeat_failure_code,responsible_discipline,reassigned_discipline,planner_group,notification_status,order_created_date,order_type,order_status,planned_start_date,planned_finish_date,actual_start_date,actual_end_date,replanning_count,closure_code,closure_text,action_type,action_text,defect_confirmed,labor_hours,maintenance_cost,linked_loss_event_id
N0000025,,PLT-FL-DIG-CIR,FV-DIG-CIR-01,2023-01-18,3,Planned Inspection,Digester - Inspection,Planned Inspection,Valve travel sticks during small command changes.,VALVE_STICTION,VALVE_STICTION,Instrumentation,,DIG-INSTRUMENTATION,Closed,,,,,,,,,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.64,310.07,
N0000026,,PLT-RU-UTL-BFW,FV-UTL-BFW-01,2023-01-18,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,UTL-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.85,204.59,
N0000027,WO0000014,PLT-RU-UTL-BFW,P-UTL-BFW-01,2023-01-20,3,Planned Inspection,Utilities - Inspection,Planned Inspection,Crackling noise and unstable suction pressure.,CAVITATION,CAVITATION,Condition Monitoring,,UTL-CONDITION_MONITORING,Closed,2023-01-22,PM02,Completed,2023-04-01,2023-04-03,2023-04-01,2023-04-03,3,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,4.29,1137.86,
N0000028,WO0000015,PLT-RU-LIM-BRN,FV-LIM-BRN-01,2023-01-21,3,Planned Inspection,Lime Kiln - Inspection,Planned Inspection,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Instrumentation,,LIM-INSTRUMENTATION,Closed,2023-01-22,PM02,Completed,2023-03-17,2023-03-18,2023-03-17,2023-03-18,1,WORK_COMPLETED,Corrective scope executed and checked.,Calibration,Calibration performed; post-work functional check within tolerance.,TRUE,4.33,1387.13,
N0000029,,PLT-RU-UTL-BFW,FV-UTL-BFW-01,2023-01-21,3,Operator Report,Utilities - Operations,,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,UTL-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.38,118.16,
N0000030,WO0000016,PLT-RU-CAU-WLC,M-CAU-WLC-01,2023-01-22,2,Operator Route,Causticizing - Operations,Sensory Route,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Electrical,,CAU-ELECTRICAL,Closed,2023-01-22,PM02,Completed,2023-02-06,2023-02-07,2023-02-06,2023-02-07,0,WORK_COMPLETED,Corrective scope executed and checked.,Tightening,Tightening performed; post-work functional check within tolerance.,TRUE,4.65,1139.37,
N0000031,,PLT-RU-RB-SMT,M-RB-SMT-01,2023-01-22,3,Planned Inspection,Recovery Boiler - Inspection,Planned Inspection,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Electrical,,RB-ELECTRICAL,Closed,,,,,,,,,OPERATING_CONDITION,Observed response is within the current operating envelope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.64,142.21,
N0000032,,PLT-FL-DIG-CHP,XV-DIG-CHP-01,2023-01-23,2,Maintenance Sensory Route,Digester - Maintenance Route A,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,DIG-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.69,175.28,
N0000033,WO0000017,PLT-FL-DRY-LUB,PT-DRY-LUB-01,2023-01-24,3,Process Alarm,Drying - Control Room,Process / Control Monitoring,Control sequence response differs from approved logic.,CONTROL_SEQUENCE_DEVIATION,CONTROL_SEQUENCE_DEVIATION,Automation,,DRY-AUTOMATION,Closed,2023-01-28,PM02,Completed,2023-02-10,2023-02-11,2023-02-10,2023-02-11,0,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,1.59,296.76,
N0000034,,PLT-RU-CAU-SLK,SLK-CAU-SLK-01,2023-01-24,3,Operator Route,Causticizing - Operations,Sensory Route,Process differential pressure above normal operating range.,PROCESS_RESTRICTION,PROCESS_RESTRICTION,Mechanical,,CAU-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.65,161.28,
N0000035,WO0000018,PLT-RU-CAU-WLC,FT-CAU-WLC-01,2023-01-25,1,Planned Inspection,Causticizing - Inspection,Planned Inspection,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,CAU-INSTRUMENTATION,Closed,2023-01-28,CM01,Completed,2023-01-28,2023-01-28,2023-01-28,2023-01-28,0,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,0.98,189.21,
N0000036,,PLT-RU-RB-SBL,ZS-RB-SBL-01,2023-01-25,3,Planned Inspection,Recovery Boiler - Inspection,Planned Inspection,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Instrumentation,,RB-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.96,336.48,
N0000037,WO0000019,PLT-FL-WSH-FIL,M-WSH-FIL-01,2023-01-26,3,Maintenance Sensory Route,Washing & Screening - Maintenance Route A,Sensory Route,Motor bearing vibration above baseline.,MOTOR_BEARING_VIBRATION,MOTOR_BEARING_VIBRATION,Electrical,,WSH-ELECTRICAL,Closed,2023-01-27,PM02,Completed,2023-03-02,2023-03-04,2023-03-02,2023-03-04,1,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,10.00,6452.53,
N0000038,WO0000020,PLT-RU-CAU-REA,AG-CAU-REA-01,2023-01-28,2,Condition Monitoring,Causticizing - Condition Monitoring,Predictive Route,Rotating assembly shows dominant once-per-revolution vibration.,IMBALANCE,IMBALANCE,Condition Monitoring,,CAU-CONDITION_MONITORING,Closed,2023-01-29,PM02,Completed,2023-03-22,2023-03-24,2023-03-22,2023-03-24,2,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,12.00,5940.55,
N0000039,,PLT-FL-BLE-DOS,P-BLE-DOS-01,2023-01-29,3,Operator Report,Bleaching - Operations,,Delivered flow below expected operating range.,LOW_FLOW,LOW_FLOW,Mechanical,,BLE-MECHANICAL,Closed,,,,,,,,,OPERATING_CONDITION,Observed response is within the current operating envelope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.36,107.79,
N0000040,WO0000021,PLT-FL-DRY-DRS,FAN-DRY-DRS-01,2023-01-31,3,Operator Route,Drying - Operations,Sensory Route,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,Lubrication,DRY-LUBRICATION,Closed,2023-02-04,PM02,Completed,2023-03-22,2023-03-23,2023-03-22,2023-03-23,2,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,13.69,9807.06,
N0000041,,PLT-RU-CAU-WLC,FV-CAU-WLC-01,2023-01-31,3,Operator Report,Causticizing - Operations,,Valve travel sticks during small command changes.,VALVE_STICTION,VALVE_STICTION,Valves,,CAU-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.05,241.78,
N0000042,WO0000022,PLT-FL-DRY-HYD,HPU-DRY-HYD-01,2023-01-31,3,Operator Report,Drying - Operations,,Hydraulic header pressure oscillates under steady demand.,HYD_PRESS_INSTABILITY,HYD_PRESS_INSTABILITY,Hydraulics,,DRY-HYDRAULICS,Closed,2023-02-02,PM02,Completed,2023-04-04,2023-04-05,2023-04-04,2023-04-05,2,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,0.43,128.58,
N0000043,WO0000023,PLT-RU-RB-SMT,M-RB-SMT-01,2023-01-31,3,Operator Route,Recovery Boiler - Operations,Sensory Route,Motor bearing vibration above baseline.,MOTOR_BEARING_VIBRATION,MOTOR_BEARING_VIBRATION,Electrical,,RB-ELECTRICAL,Closed,2023-02-05,PM02,Completed,2023-03-17,2023-03-19,2023-03-17,2023-03-19,2,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,14.33,9243.75,
N0000044,WO0000024,PLT-FL-DIG-CIR,P-DIG-CIR-01,2023-01-31,3,Operator Report,Digester - Operations,,Elevated vibration at pump bearing housing.,PUMP_BEARING_VIBRATION,PUMP_BEARING_VIBRATION,Mechanical,,DIG-MECHANICAL,Closed,2023-02-01,PM02,Completed,2023-04-05,2023-04-05,2023-04-05,2023-04-05,2,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,1.00,208.72,
N0000045,,PLT-FL-DRY-LUB,LU-DRY-LUB-01,2023-02-02,2,Maintenance Sensory Route,Drying - Maintenance Route A,Sensory Route,Lubricant level below normal mark.,LOW_LUBE_LEVEL,LOW_LUBE_LEVEL,Lubrication,,DRY-LUBRICATION,Closed,,,,,,,,,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.82,323.10,
N0000046,,PLT-RU-RB-AIR,M-RB-AIR-01,2023-02-05,3,Maintenance Sensory Route,Recovery Boiler - Maintenance Route A,Sensory Route,Motor temperature rising at normal load.,MOTOR_OVERHEATING,MOTOR_OVERHEATING,Electrical,,RB-ELECTRICAL,Closed,,,,,,,,,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.95,214.64,
N0000047,,PLT-RU-LIM-DRV,DRV-LIM-DRV-01,2023-02-06,2,Maintenance Sensory Route,Lime Kiln - Maintenance Route A,Sensory Route,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,,LIM-MECHANICAL,Closed,,,,,,,,,OPERATING_CONDITION,Observed response is within the current operating envelope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.02,193.64,
N0000048,WO0000025,PLT-RU-CAU-WLC,P-CAU-WLC-01,2023-02-06,3,Operator Report,Causticizing - Operations,,Elevated vibration at pump bearing housing.,PUMP_BEARING_VIBRATION,PUMP_BEARING_VIBRATION,Mechanical,,CAU-MECHANICAL,Closed,2023-02-09,PM02,Completed,2023-03-30,2023-03-30,2023-03-30,2023-03-30,2,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,21.69,15346.73,
N0000049,,PLT-RU-EVA-CIR,P-EVA-CIR-01,2023-02-06,2,Planned Inspection,Evaporation - Inspection,Planned Inspection,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,,EVA-MECHANICAL,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.77,142.64,
N0000050,WO0000026,PLT-RU-EVA-VAC,VAC-EVA-VAC-01,2023-02-07,3,Maintenance Sensory Route,Evaporation - Maintenance Route A,Sensory Route,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,,EVA-MECHANICAL,Closed,2023-02-09,PM02,Completed,2023-04-28,2023-04-30,2023-04-28,2023-04-30,3,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,7.13,2548.14,
N0000051,WO0000027,PLT-RU-CAU-WLC,FT-CAU-WLC-01,2023-02-08,3,Operator Report,Causticizing - Operations,,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Instrumentation,Automation,CAU-AUTOMATION,Closed,2023-02-12,PM02,Completed,2023-03-26,2023-03-26,2023-03-26,2023-03-26,2,WORK_COMPLETED,Corrective scope executed and checked.,Instrument replacement,Instrument replacement performed; post-work functional check within tolerance.,TRUE,8.16,6623.37,
N0000052,WO0000028,PLT-RU-EVA-BLF,M-EVA-BLF-01,2023-02-08,3,Process Alarm,Evaporation - Control Room,Process / Control Monitoring,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Electrical,,EVA-ELECTRICAL,Closed,2023-02-09,PM02,Completed,2023-03-11,2023-03-12,2023-03-11,2023-03-12,0,WORK_COMPLETED,Corrective scope executed and checked.,Tightening,Tightening performed; post-work functional check within tolerance.,TRUE,5.02,1230.22,
N0000053,WO0000029,PLT-RU-LIM-BRN,BRN-LIM-BRN-01,2023-02-10,1,Maintenance Sensory Route,Lime Kiln - Maintenance Route A,Sensory Route,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,,LIM-MECHANICAL,Closed,2023-02-15,CM01,Completed,2023-03-01,2023-03-03,2023-03-01,2023-03-03,1,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,10.87,3886.30,
N0000054,,PLT-FL-DIG-IMP,M-DIG-IMP-01,2023-02-10,3,Condition Monitoring,Digester - Condition Monitoring,Predictive Route,Motor temperature rising at normal load.,MOTOR_OVERHEATING,MOTOR_OVERHEATING,Condition Monitoring,,DIG-CONDITION_MONITORING,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.31,243.17,
N0000055,,PLT-FL-DRY-FOR,M-DRY-FOR-01,2023-02-10,3,Operator Route,Drying - Operations,Sensory Route,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Condition Monitoring,,DRY-CONDITION_MONITORING,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.73,161.26,
N0000056,WO0000030,PLT-FL-DRY-SHT,M-DRY-SHT-01,2023-02-10,3,Maintenance Sensory Route,Drying - Maintenance Route A,Sensory Route,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Electrical,,DRY-ELECTRICAL,Closed,2023-02-11,PM02,Completed,2023-03-31,2023-04-02,2023-03-31,2023-04-02,1,WORK_COMPLETED,Corrective scope executed and checked.,Tightening,Tightening performed; post-work functional check within tolerance.,TRUE,2.97,726.58,
N0000057,WO0000031,PLT-RU-RB-BLF,P-RB-BLF-01,2023-02-10,1,Operator Report,Recovery Boiler - Operations,,Delivered flow below expected operating range.,LOW_FLOW,LOW_FLOW,Condition Monitoring,,RB-CONDITION_MONITORING,Closed,2023-02-13,CM01,Completed,2023-02-15,2023-02-17,2023-02-15,2023-02-17,0,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,5.47,1613.95,
