plant,island,area,system_id,system_name,functional_location,asset_id,asset_type,asset_description,primary_discipline,possible_disciplines,asset_criticality,criticality_basis
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,PLT-FL-WSH-SCR,SCR-WSH-SCR-01,Screen,Pressure screen,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,PLT-FL-WSH-SCR,M-WSH-SCR-01,Motor,Pressure screen motor,Electrical,Electrical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,PLT-FL-WSH-SCR,P-WSH-SCR-01,Pump,Screening feed pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,PLT-FL-WSH-SCR,DPIT-WSH-SCR-01,Differential Pressure Transmitter,Screen differential pressure transmitter,Instrumentation,Instrumentation;Automation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-KNR,Knot Removal,PLT-FL-WSH-KNR,SCR-WSH-KNR-01,Separator,Knot separator,Mechanical,Mechanical;Condition Monitoring,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-KNR,Knot Removal,PLT-FL-WSH-KNR,M-WSH-KNR-01,Motor,Knot separator motor,Electrical,Electrical;Condition Monitoring,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-KNR,Knot Removal,PLT-FL-WSH-KNR,XV-WSH-KNR-01,On/Off Valve,Knot removal isolation valve,Valves,Valves;Instrumentation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,PLT-FL-WSH-FIL,P-WSH-FIL-01,Pump,Filtrate transfer pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,PLT-FL-WSH-FIL,M-WSH-FIL-01,Motor,Filtrate pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,PLT-FL-WSH-FIL,LT-WSH-FIL-01,Level Transmitter,Filtrate tank level transmitter,Instrumentation,Instrumentation;Automation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,PLT-FL-WSH-FIL,FV-WSH-FIL-01,Control Valve,Filtrate flow control valve,Valves,Valves;Instrumentation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,PLT-FL-BLE-CHM,AG-BLE-CHM-01,Agitator,Chemical mixing agitator,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,PLT-FL-BLE-CHM,M-BLE-CHM-01,Motor,Chemical mixing agitator motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,PLT-FL-BLE-CHM,P-BLE-CHM-01,Pump,Chemical mixing transfer pump,Mechanical,Mechanical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,PLT-FL-BLE-CHM,FT-BLE-CHM-01,Flow Transmitter,Chemical mixing flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,PLT-FL-BLE-TWR,AG-BLE-TWR-01,Agitator,Bleaching tower agitator,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,PLT-FL-BLE-TWR,M-BLE-TWR-01,Motor,Bleaching tower agitator motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,PLT-FL-BLE-TWR,LT-BLE-TWR-01,Level Transmitter,Bleaching tower level transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,PLT-FL-BLE-TWR,PV-BLE-TWR-01,Control Valve,Bleaching tower pressure control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,PLT-FL-BLE-STW,P-BLE-STW-01,Pump,Bleaching stage washer pump,Mechanical,Mechanical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,PLT-FL-BLE-STW,M-BLE-STW-01,Motor,Bleaching stage washer pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,PLT-FL-BLE-STW,FV-BLE-STW-01,Control Valve,Stage washer flow control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,PLT-FL-BLE-STW,DPIT-BLE-STW-01,Differential Pressure Transmitter,Stage washer differential pressure transmitter,Instrumentation,Instrumentation;Automation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,PLT-FL-BLE-DOS,P-BLE-DOS-01,Dosing Pump,Chemical dosing pump,Mechanical,Mechanical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,PLT-FL-BLE-DOS,M-BLE-DOS-01,Motor,Chemical dosing pump motor,Electrical,Electrical;Condition Monitoring,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,PLT-FL-BLE-DOS,FV-BLE-DOS-01,Control Valve,Chemical dosing control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,PLT-FL-BLE-DOS,FT-BLE-DOS-01,Flow Transmitter,Chemical dosing flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,PLT-FL-DRY-PMF,P-DRY-PMF-01,Pump,Pulp machine feed pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,PLT-FL-DRY-PMF,M-DRY-PMF-01,Motor,Pulp machine feed pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,PLT-FL-DRY-PMF,FV-DRY-PMF-01,Control Valve,Pulp machine feed flow control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,PLT-FL-DRY-PMF,FT-DRY-PMF-01,Flow Transmitter,Pulp machine feed flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,PLT-FL-DRY-FOR,DRV-DRY-FOR-01,Drive,Forming section main drive,Mechanical,Mechanical;Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,PLT-FL-DRY-FOR,M-DRY-FOR-01,Motor,Forming section drive motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,PLT-FL-DRY-FOR,P-DRY-FOR-01,Pump,Forming section vacuum/water pump,Mechanical,Mechanical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,PLT-FL-DRY-FOR,PT-DRY-FOR-01,Pressure Transmitter,Forming section pressure transmitter,Instrumentation,Instrumentation;Automation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,PLT-FL-DRY-PRS,ROLL-DRY-PRS-01,Press Roll,Press section roll,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,PLT-FL-DRY-PRS,DRV-DRY-PRS-01,Drive,Press section drive,Electrical,Electrical;Mechanical;Condition Monitoring,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,PLT-FL-DRY-PRS,HY-DRY-PRS-01,Hydraulic Actuator,Press hydraulic actuator,Hydraulics,Hydraulics;Mechanical;Instrumentation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,PLT-FL-DRY-PRS,PT-DRY-PRS-01,Pressure Transmitter,Press hydraulic pressure transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,PLT-FL-DRY-DRS,FAN-DRY-DRS-01,Fan,Dryer section circulation fan,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,PLT-FL-DRY-DRS,M-DRY-DRS-01,Motor,Dryer circulation fan motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,PLT-FL-DRY-DRS,PV-DRY-DRS-01,Control Valve,Dryer steam control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,PLT-FL-DRY-DRS,TT-DRY-DRS-01,Temperature Transmitter,Dryer temperature transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-SHT,Sheet Handling / Cutter,PLT-FL-DRY-SHT,CUT-DRY-SHT-01,Cutter,Sheet cutter,Mechanical,Mechanical;Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-SHT,Sheet Handling / Cutter,PLT-FL-DRY-SHT,M-DRY-SHT-01,Motor,Sheet cutter motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-SHT,Sheet Handling / Cutter,PLT-FL-DRY-SHT,ENC-DRY-SHT-01,Encoder,Sheet handling encoder,Instrumentation,Instrumentation;Automation,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,PLT-FL-DRY-HYD,HPU-DRY-HYD-01,Hydraulic Power Unit,Drying hydraulic power unit,Hydraulics,Hydraulics;Electrical;Instrumentation;Condition Monitoring,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,PLT-FL-DRY-HYD,P-DRY-HYD-01,Hydraulic Pump,Hydraulic power unit pump,Hydraulics,Hydraulics;Mechanical;Condition Monitoring,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,PLT-FL-DRY-HYD,M-DRY-HYD-01,Motor,Hydraulic power unit motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,PLT-FL-DRY-HYD,PT-DRY-HYD-01,Pressure Transmitter,Hydraulic pressure transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,PLT-FL-DRY-LUB,LU-DRY-LUB-01,Lubrication Unit,Drying centralized lubrication unit,Lubrication,Lubrication;Instrumentation;Mechanical,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,PLT-FL-DRY-LUB,P-DRY-LUB-01,Lubrication Pump,Lubrication system pump,Lubrication,Lubrication;Mechanical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,PLT-FL-DRY-LUB,M-DRY-LUB-01,Motor,Lubrication system motor,Electrical,Electrical;Condition Monitoring,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,PLT-FL-DRY-LUB,PT-DRY-LUB-01,Pressure Transmitter,Lubrication pressure transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,PLT-RU-EVA-BLF,P-EVA-BLF-01,Pump,Black liquor feed pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,PLT-RU-EVA-BLF,M-EVA-BLF-01,Motor,Black liquor feed pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,PLT-RU-EVA-BLF,FV-EVA-BLF-01,Control Valve,Black liquor feed control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,PLT-RU-EVA-BLF,FT-EVA-BLF-01,Flow Transmitter,Black liquor feed flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,PLT-RU-EVA-CIR,P-EVA-CIR-01,Pump,Evaporator circulation pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,PLT-RU-EVA-CIR,M-EVA-CIR-01,Motor,Evaporator circulation pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,PLT-RU-EVA-CIR,PV-EVA-CIR-01,Control Valve,Evaporator circulation control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,PLT-RU-EVA-CIR,PT-EVA-CIR-01,Pressure Transmitter,Evaporator circulation pressure transmitter,Instrumentation,Instrumentation;Automation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,PLT-RU-EVA-CON,P-EVA-CON-01,Pump,Evaporator condensate pump,Mechanical,Mechanical;Condition Monitoring,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,PLT-RU-EVA-CON,M-EVA-CON-01,Motor,Condensate pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,PLT-RU-EVA-CON,LT-EVA-CON-01,Level Transmitter,Condensate tank level transmitter,Instrumentation,Instrumentation;Automation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
